"income","country","expenditure","accomodation","year"
18810,"Netherlands",680,"B&B","1994"
15675,"Netherlands",331.1,"Camping","1994"
35000,"Netherlands",462.5,"Room","1994"
30000,"Netherlands",433.91667,"Camping","1994"
21945,"Netherlands",400.6,"Camping","1994"
13794,"Netherlands",381.56625,"Camping","1994"
23826,"Netherlands",272.84848,"Camping","1994"
60000,"USA",1203.57143,"Appartment","1994"
55250,"USA",1385.71429,"Hotel","1994"
18810,"Netherlands",516.25,"B&B","1994"
21945,"Netherlands",291.48333,"Camping","1994"
20691,"Netherlands",425.90714,"Camping","1994"
37620,"Netherlands",186.78571,"Camping","1994"
78375,"Netherlands",379.53654,"Camping","1994"
18810,"Netherlands",203.70968,"Camping","1994"
33150,"USA",687.14286,"Hotel","1994"
52247.91,"Netherlands",543.4,"Camping","1994"
43890,"Netherlands",1174.69167,"Hotel","1994"
28215,"Netherlands",402.49107,"Camping","1994"
30096,"Netherlands",433.09722,"Camping","1994"
48906,"Netherlands",1300,"Camping","1994"
18810,"Netherlands",725.69792,"Hotel","1994"
20691,"Netherlands",385.9375,"Camping","1994"
31350,"Netherlands",197.96691,"Camping","1994"
50160,"Netherlands",1075,"Camping","1994"
27274.5,"Netherlands",342.14286,"Camping","1994"
25080,"Netherlands",361.725,"Camping","1994"
21945,"Netherlands",692.95,"Camping","1994"
28215,"Netherlands",383.4375,"Camping","1994"
37620,"Netherlands",686.45938,"Camping","1994"
34485,"Netherlands",225.78333,"Camping","1994"
20064,"Netherlands",306.75,"Camping","1994"
143650,"USA",1088.33333,"Hotel","1994"
17556,"Netherlands",616.66667,"Camping","1994"
50160,"Netherlands",498.465,"Camping","1994"
18810,"Netherlands",331.9325,"Camping","1994"
32604,"Netherlands",263.88286,"Camping","1994"
18810,"Netherlands",514.375,"Room","1994"
25080,"Netherlands",418.33333,"Camping","1994"
26334,"Netherlands",574.58333,"Camping","1994"
52041,"Netherlands",395.98824,"Camping","1994"
37620,"Netherlands",307.5,"Camping","1994"
15675,"Netherlands",409.20673,"Camping","1994"
43890,"Netherlands",306.7075,"Camping","1994"
50160,"Netherlands",490.17857,"Camping","1994"
23826,"Netherlands",511.98889,"Camping","1994"
32604,"Netherlands",693.5,"Camping","1994"
22572,"Netherlands",304.16667,"Appartment","1994"
21945,"Netherlands",1406.56667,"Hotel","1994"
24310,"USA",684.52976,"Hotel","1994"
37620,"Netherlands",1029.325,"Appartment","1994"
23826,"Netherlands",762.73214,"Appartment","1994"
31350,"Netherlands",1030.10833,"B&B","1994"
50160,"Netherlands",219.40476,"Camping","1994"
23826,"Netherlands",331.97411,"Camping","1994"
18810,"Netherlands",283.87583,"Camping","1994"
25080,"Netherlands",401.17647,"Camping","1994"
34485,"Netherlands",304.25,"Camping","1994"
18810,"Netherlands",780.88706,"Camping","1994"
35112,"Netherlands",422.06389,"Appartment","1994"
21945,"Netherlands",746.42857,"Appartment","1994"
43890,"Netherlands",424.85227,"Camping","1994"
40000,"Netherlands",487.31884,"Camping","1994"
21004.5,"Netherlands",288.125,"Camping","1994"
25080,"Netherlands",267.9125,"Camping","1994"
62700,"Netherlands",200.28214,"Camping","1994"
30096,"Netherlands",262.48571,"Camping","1994"
37620,"Netherlands",440.68214,"Camping","1994"
62700,"Netherlands",307.375,"Camping","1994"
31350,"Netherlands",731.76471,"Camping","1994"
17600,"Netherlands",387.7381,"Camping","1994"
28700,"Netherlands",644.28571,"B&B","1994"
13794,"Netherlands",219.23114,"Camping","1994"
3573.9,"Netherlands",219.33631,"Camping","1994"
18810,"Netherlands",410.49762,"Camping","1994"
31350,"Netherlands",410.88235,"Appartment","1994"
31350,"Netherlands",1180.95238,"Hotel","1994"
55250,"USA",985.65625,"Room","1994"
46410,"USA",1189.53125,"Hotel","1994"
56430,"Netherlands",781.875,"B&B","1994"
19000,"Netherlands",598.8,"Camping","1994"
21945,"Netherlands",197.5,"Camping","1994"
17556,"Netherlands",359.74125,"Camping","1994"
16302,"Netherlands",309.1125,"Camping","1994"
49725,"USA",1605,"Hotel","1994"
30940,"USA",674.65625,"Hotel","1994"
28215,"Netherlands",344.3875,"Camping","1994"
26334,"Netherlands",623.64107,"Appartment","1994"
31350,"Netherlands",776.47031,"Hotel","1994"
17556,"Netherlands",327.5,"Camping","1994"
20879.1,"Netherlands",455.83333,"Camping","1994"
15675,"Netherlands",946.48889,"Hotel","1994"
22572,"Netherlands",914.81667,"Hotel","1994"
18810,"Netherlands",427.89107,"Camping","1994"
20000,"USA",737.14286,"Hotel","1994"
20000,"Netherlands",683.92857,"B&B","1994"
18810,"Netherlands",287.54167,"Camping","1994"
18810,"Netherlands",357.5,"Camping","1994"
38675,"USA",1540,"Hotel","1994"
18810,"Netherlands",627.32143,"B&B","1994"
34485,"Netherlands",809.48718,"B&B","1994"
28215,"Netherlands",672.98,"B&B","1994"
31350,"Netherlands",510.71667,"Hotel","1994"
23826,"Netherlands",260.125,"Camping","1994"
21945,"Netherlands",650.0125,"Hotel","1994"
17556,"Netherlands",396.41591,"Hotel","1994"
25080,"Netherlands",605.86607,"Hotel","1994"
43890,"Netherlands",980,"Hotel","1994"
37620,"Netherlands",402.85294,"Hotel","1994"
18810,"Netherlands",985,"Camping","1994"
16678.2,"Netherlands",114,"Camping","1994"
15675,"Netherlands",759.11786,"B&B","1994"
33150,"USA",556.42857,"Camping","1994"
14729.65,"USA",757.25,"Hotel","1994"
40755,"Netherlands",365.42857,"Camping","1994"
37620,"Netherlands",850.83333,"Hotel","1994"
47025,"Netherlands",420.20134,"Camping","1994"
30940,"USA",448.85,"Hotel","1994"
37620,"Netherlands",461.02094,"Camping","1994"
31350,"Netherlands",249.81111,"Camping","1994"
34485,"Netherlands",468.1875,"B&B","1994"
43890,"Netherlands",953.57143,"Hotel","1994"
25000,"Netherlands",892.32679,"Hotel","1994"
18810,"Netherlands",861.4,"Camping","1994"
6000,"Netherlands",382.5,"Camping","1994"
21945,"Netherlands",731.81429,"B&B","1994"
22100,"USA",1062.3125,"Hotel","1994"
33231,"Netherlands",598.86786,"Hotel","1994"
31350,"Netherlands",1536.99167,"Hotel","1994"
20064,"Netherlands",871.4,"Hotel","1994"
33150,"USA",503.65385,"Room","1994"
18810,"Netherlands",1097.85714,"Hotel","1994"
33150,"USA",1061.5,"B&B","1994"
43095,"USA",1163.5,"Hotel","1994"
66300,"USA",1858.05,"Hotel","1994"
110500,"USA",4400.9,"Hotel","1994"
101660,"USA",1316.66667,"Hotel","1994"
42240,"Netherlands",1217.87143,"Hotel","1994"
56320,"Netherlands",1402.9125,"Hotel","1994"
28160,"Netherlands",792.88462,"B&B","1994"
8151,"Netherlands",626.25,"Hotel","1994"
40755,"Netherlands",937,"Hotel","1994"
18810,"Netherlands",661.83333,"Camping","1994"
37620,"Netherlands",595.65,"Camping","1994"
31350,"Netherlands",592.52083,"Camping","1994"
21945,"Netherlands",663.43571,"Camping","1994"
62700,"Netherlands",1293.15789,"Hotel","1994"
37620,"Netherlands",440.48387,"Camping","1994"
28842,"Netherlands",1776.40357,"Hotel","1994"
15675,"Netherlands",587.01923,"Room","1994"
26520,"USA",743.25,"B&B","1994"
88400,"USA",1566.3125,"Hotel","1994"
44200,"USA",1424.875,"Room","1994"
13812.5,"USA",1139.25,"Farm","1994"
28215,"Netherlands",984.80357,"B&B","1994"
18810,"Netherlands",320,"Camping","1994"
15048,"Netherlands",457.625,"B&B","1994"
43890,"Netherlands",350,"Camping","1994"
18810,"Netherlands",159.625,"Camping","1994"
110500,"USA",1458.375,"Room","1994"
11050,"USA",498.57143,"Room","1994"
30096,"Netherlands",668.05357,"B&B","1994"
19437,"Netherlands",478.43571,"B&B","1994"
28000,"Netherlands",1195,"Hotel","1994"
138125,"USA",690.5,"Hotel","1994"
18496.5,"Netherlands",364.97404,"Appartment","1994"
18810,"Netherlands",153.475,"Camping","1994"
50000,"Netherlands",219.71429,"Camping","1994"
18810,"Netherlands",113.03233,"Camping","1994"
25080,"Netherlands",192.4375,"Camping","1994"
44200,"USA",2098.33333,"Hotel","1994"
49725,"USA",3500,"Hotel","1994"
17242.5,"Netherlands",776.25,"Camping","1994"
28730,"USA",2561.25,"Hotel","1994"
25000,"Netherlands",450,"Camping","1994"
110500,"USA",1156.375,"Hotel","1994"
91715,"USA",1377.06429,"Hotel","1994"
55250,"USA",9417.5,"Hotel","1994"
38675,"USA",949.64286,"Hotel","1994"
75000,"USA",829.16667,"Hotel","1994"
55250,"USA",1077.875,"Hotel","1994"
62700,"Netherlands",808.33333,"Hotel","1994"
72930,"USA",364.33333,"Camping","1994"
22100,"USA",820.625,"Hotel","1994"
14365,"USA",815.83333,"B&B","1994"
44200,"USA",857,"Room","1994"
10939.5,"USA",270,"Camping","1994"
23826,"Netherlands",426.04,"Room","1994"
33150,"USA",1281.10417,"Hotel","1994"
38675,"USA",6741.25,"Hotel","1994"
99450,"USA",631.66667,"Hotel","1994"
35000,"USA",972,"Hotel","1994"
66300,"USA",907.75,"B&B","1994"
41990,"USA",1160.525,"Hotel","1994"
55250,"USA",1479.7,"Room","1994"
33150,"USA",951.66667,"Room","1994"
22100,"USA",496.0875,"B&B","1994"
50000,"USA",1625.25,"Hotel","1994"
20691,"Netherlands",599.64885,"B&B","1994"
21945,"Netherlands",236.54762,"Camping","1994"
18810,"Netherlands",1099.48929,"Hotel","1994"
20691,"Netherlands",936.58125,"Hotel","1994"
18810,"Netherlands",1231.015,"Hotel","1994"
21945,"Netherlands",666.95,"Room","1994"
22400,"Netherlands",635.89286,"Appartment","1994"
31350,"Netherlands",558.4,"Room","1994"
18810,"Netherlands",525,"Camping","1994"
49639.59,"Netherlands",836.27596,"Hotel","1994"
31350,"Netherlands",366.13571,"Camping","1994"
20000,"Netherlands",893.25,"Hotel","1994"
8778,"Netherlands",228.83929,"Camping","1994"
40000,"Netherlands",962.5,"Hotel","1994"
62700,"Netherlands",1802.89286,"Hotel","1994"
14421,"Netherlands",734.27143,"Appartment","1994"
25080,"Netherlands",614.75,"Room","1994"
30409.5,"Netherlands",975.46875,"B&B","1994"
65314.59,"Netherlands",950,"B&B","1994"
12540,"Netherlands",933.44625,"B&B","1994"
31350,"Netherlands",353.50857,"Appartment","1994"
31350,"Netherlands",752.25,"B&B","1994"
21945,"Netherlands",758.34615,"Room","1994"
47000,"Netherlands",420.25,"Camping","1994"
9405,"Netherlands",908,"Hotel","1994"
12540,"Netherlands",617.52381,"Camping","1994"
34485,"Netherlands",444.56905,"Camping","1994"
25080,"Netherlands",297.25,"Camping","1994"
13167,"Netherlands",665.41667,"Camping","1994"
35200,"Netherlands",504.71875,"Camping","1994"
25080,"Netherlands",578.75,"Camping","1994"
18810,"Netherlands",425.88235,"Appartment","1994"
17556,"Netherlands",472.69231,"Appartment","1994"
21945,"Netherlands",669.82143,"Room","1994"
25080,"Netherlands",687.92857,"Camping","1994"
25080,"Netherlands",347.85714,"Camping","1994"
15675,"Netherlands",282.95385,"Camping","1994"
25080,"Netherlands",475,"Appartment","1994"
30409.5,"Netherlands",153.375,"Appartment","1994"
37620,"Netherlands",534.87589,"Camping","1994"
25080,"Netherlands",625.99232,"Hotel","1994"
43890,"Netherlands",1716.66667,"Hotel","1994"
52041,"Netherlands",331.55179,"Camping","1994"
11286,"Netherlands",890.82321,"Hotel","1994"
18810,"Netherlands",593.82143,"Hotel","1994"
31350,"Netherlands",1266.54,"Hotel","1994"
28215,"Netherlands",447.60119,"Hotel","1994"
15048,"Netherlands",550,"Camping","1994"
62700,"Netherlands",1508.75,"B&B","1994"
31350,"Netherlands",842.14286,"Room","1994"
40755,"Netherlands",1075,"B&B","1994"
21318,"Netherlands",245.48882,"Camping","1994"
25080,"Netherlands",1309.66667,"Hotel","1994"
33231,"Netherlands",522.36111,"Farm","1994"
13794,"Netherlands",1252,"Hotel","1994"
18810,"Netherlands",895.08929,"B&B","1994"
23826,"Netherlands",935.62857,"Hotel","1994"
22572,"Netherlands",547.56952,"Appartment","1994"
40755,"Netherlands",763.2,"Appartment","1994"
15048,"Netherlands",465.29062,"Room","1994"
75240,"Netherlands",1131.85714,"Hotel","1994"
62700,"Netherlands",958.07692,"B&B","1994"
35112,"Netherlands",1791.11111,"Hotel","1994"
15675,"Netherlands",792.33125,"Hotel","1994"
22572,"Netherlands",516.66667,"Appartment","1994"
62700,"Netherlands",600,"Hotel","1994"
20064,"Netherlands",1695,"Hotel","1994"
81510,"Netherlands",561.66667,"Room","1994"
37620,"Netherlands",846.45,"Hotel","1994"
37620,"Netherlands",554.54545,"Room","1994"
29469,"Netherlands",665.89286,"Farm","1994"
43890,"Netherlands",1442.85714,"Hotel","1994"
25080,"Netherlands",548.21429,"Camping","1994"
25080,"Netherlands",1214.4,"Farm","1994"
16575,"USA",745,"Hotel","1994"
66300,"USA",976.25,"Hotel","1994"
44200,"USA",1656.94444,"Hotel","1994"
110500,"USA",2012.8125,"Hotel","1994"
5525,"USA",742.5,"Hotel","1994"
38675,"USA",1682.61,"Hotel","1994"
27625,"USA",1643.75,"B&B","1994"
60775,"USA",713.21429,"Hotel","1994"
92267.5,"USA",548.16667,"Room","1994"
165750,"USA",2552.5,"Hotel","1994"
55250,"USA",1953.75,"Hotel","1994"
77350,"USA",1352.5,"Hotel","1994"
38675,"USA",1300,"Hotel","1994"
44200,"USA",3990.64286,"Hotel","1994"
85085,"USA",1039,"B&B","1994"
44200,"USA",3044.16667,"Hotel","1994"
33150,"USA",1215.5,"Hotel","1994"
22100,"USA",621.71429,"Room","1994"
69062.5,"USA",520.97024,"Hotel","1994"
92267.5,"USA",1198.225,"Hotel","1994"
40885,"USA",341.42857,"Appartment","1994"
64090,"USA",898.21429,"Hotel","1994"
32409.65,"USA",721.30952,"Hotel","1994"
66300,"USA",451.74242,"Hotel","1994"
49725,"USA",1080.04167,"B&B","1994"
33150,"USA",1802.8,"Hotel","1994"
77350,"USA",1265,"Hotel","1994"
66300,"USA",1284.375,"Hotel","1994"
27625,"USA",883.75,"Hotel","1994"
9945,"USA",1369.5,"Hotel","1994"
37017.5,"USA",838.57143,"Camping","1994"
56907.5,"USA",864.28571,"Hotel","1994"
44200,"USA",1983.33333,"Hotel","1994"
16700,"USA",475,"Hotel","1994"
45857.5,"USA",1470,"Hotel","1994"
82875,"USA",582.85,"Appartment","1994"
33150,"USA",1741.5,"Room","1994"
27625,"USA",577.76786,"Appartment","1994"
33150,"USA",1678.84615,"Hotel","1994"
92267.5,"USA",1915,"Hotel","1994"
66300,"USA",397.10714,"Hotel","1994"
19890,"USA",1572,"Hotel","1994"
22100,"USA",2120.5,"Hotel","1994"
55250,"USA",1049.28571,"Hotel","1994"
30096,"Netherlands",566.53929,"Hotel","1994"
28215,"Netherlands",638.73611,"Appartment","1994"
110500,"USA",1421.42857,"Hotel","1994"
22100,"USA",1197.46875,"Hotel","1994"
46078.5,"USA",555.66667,"Hotel","1994"
138125,"USA",743.75,"Appartment","1994"
17680,"USA",967.67857,"Hotel","1994"
38675,"USA",938.4,"Hotel","1994"
11000,"Netherlands",424.44444,"Hotel","1994"
31350,"Netherlands",454.575,"B&B","1994"
34485,"Netherlands",547.00625,"Camping","1994"
11116.71,"Netherlands",448.65357,"Camping","1994"
27625,"USA",687.08333,"Hotel","1994"
26520,"USA",1077.125,"Hotel","1994"
31350,"Netherlands",642.03192,"Hotel","1994"
25080,"Netherlands",616.0275,"Appartment","1994"
82875,"USA",1744.88636,"Hotel","1994"
44200,"USA",868.75,"Hotel","1994"
26334,"Netherlands",602.33571,"Appartment","1994"
18810,"Netherlands",606.78571,"Camping","1994"
82875,"USA",3850,"Hotel","1994"
34485,"Netherlands",220.89405,"Camping","1994"
6630,"USA",1100,"Hotel","1994"
24453,"Netherlands",783.07143,"Camping","1994"
24640,"Netherlands",779.16667,"B&B","1994"
91715,"USA",1037.79545,"Hotel","1994"
26520,"USA",962.5,"Hotel","1994"
20000,"Netherlands",471.66667,"Hotel","1994"
22100,"USA",1662.5,"Appartment","1994"
30940,"USA",1496.25,"Hotel","1994"
30000,"USA",945.2381,"Hotel","1994"
110500,"USA",2296.59375,"Hotel","1994"
44200,"USA",552.97826,"B&B","1994"
18785,"USA",542.40476,"B&B","1994"
9171.5,"USA",735.625,"Room","1994"
11050,"USA",1392.125,"Hotel","1994"
10829,"USA",1326.07143,"Hotel","1994"
37620,"Netherlands",534.17857,"Camping","1994"
15675,"Netherlands",445.54167,"Appartment","1994"
10659,"Netherlands",553.57143,"Appartment","1994"
26334,"Netherlands",396.775,"B&B","1994"
12540,"Netherlands",830.775,"Hotel","1994"
15048,"Netherlands",383.4375,"Room","1994"
25080,"Netherlands",772.39357,"Appartment","1994"
28215,"Netherlands",380.3125,"Farm","1994"
40755,"Netherlands",1102.85714,"Hotel","1994"
18420.35,"USA",1756.23333,"Hotel","1994"
55250,"USA",1919.2,"Hotel","1994"
88400,"USA",575.08333,"Room","1994"
110500,"USA",805.83333,"Hotel","1994"
22100,"USA",346.5,"Camping","1994"
18289.59,"Netherlands",390.625,"Camping","1994"
41700,"Netherlands",1475,"Hotel","1994"
47025,"Netherlands",478.875,"Appartment","1994"
43890,"Netherlands",1000.45536,"Hotel","1994"
18810,"Netherlands",634.5625,"Appartment","1994"
26334,"Netherlands",387.5,"Appartment","1994"
43890,"Netherlands",1545.20833,"Hotel","1994"
41802.09,"Netherlands",605,"B&B","1994"
40755,"Netherlands",583.26875,"Appartment","1994"
20897.91,"Netherlands",505.59091,"Farm","1994"
20064,"Netherlands",363.90446,"Appartment","1994"
21945,"Netherlands",703.6875,"Camping","1994"
16575,"USA",818.33333,"Hotel","1994"
41820.9,"Netherlands",401.67188,"Appartment","1994"
19890,"USA",835.71429,"B&B","1994"
36829.65,"USA",493.125,"Hotel","1994"
27688.32,"Netherlands",657.22222,"Hotel","1994"
12540,"Netherlands",891.23571,"Appartment","1994"
26334,"Netherlands",371.30714,"B&B","1994"
38675,"USA",1496.5,"Hotel","1994"
88400,"USA",1615,"Hotel","1994"
36829.65,"USA",1665.625,"Hotel","1994"
37620,"Netherlands",702.39444,"Hotel","1994"
20064,"Netherlands",1153.07692,"Room","1994"
33150,"USA",944.00781,"Hotel","1994"
25080,"Netherlands",266.97357,"Camping","1994"
41802.09,"Netherlands",560.71429,"Hotel","1994"
18810,"Netherlands",477.33429,"Camping","1994"
25080,"Netherlands",457,"B&B","1994"
18810,"Netherlands",442.32143,"Appartment","1994"
31350,"Netherlands",307.15,"Camping","1994"
18810,"Netherlands",314.3625,"Hotel","1994"
25080,"Netherlands",211.66667,"Camping","1994"
21824,"Netherlands",183.86273,"Camping","1994"
25080,"Netherlands",222.85714,"Camping","1994"
50160,"Netherlands",423.09357,"Appartment","1994"
40755,"Netherlands",211.25,"Camping","1994"
68970,"Netherlands",322.45714,"Camping","1994"
17017,"USA",670,"Hotel","1994"
15675,"Netherlands",307.90179,"B&B","1994"
20064,"Netherlands",674.28571,"Hotel","1994"
19437,"Netherlands",554.06364,"B&B","1994"
25080,"Netherlands",493.75,"Appartment","1994"
47000,"USA",838.33333,"B&B","1994"
43890,"Netherlands",980.71429,"Farm","1994"
25080,"Netherlands",337.85714,"Appartment","1994"
18810,"Netherlands",534.375,"B&B","1994"
7524,"Netherlands",280.1375,"Appartment","1994"
25080,"Netherlands",838.76429,"B&B","1994"
31350,"Netherlands",425.315,"Camping","1994"
14365,"USA",551.78571,"Hotel","1994"
18810,"Netherlands",1093.1745,"Hotel","1994"
18810,"Netherlands",466.53846,"B&B","1994"
44200,"USA",1002.5,"Hotel","1994"
20995,"USA",2964.5,"Hotel","1994"
47515,"USA",1564.84375,"Hotel","1994"
53040,"USA",1320.875,"Appartment","1994"
28215,"Netherlands",627,"B&B","1994"
18810,"Netherlands",351.84659,"Appartment","1994"
37620,"Netherlands",464.37187,"Camping","1994"
18810,"Netherlands",665.03571,"Hotel","1994"
24600,"USA",1490,"Hotel","1994"
55250,"USA",1252.5,"Hotel","1994"
10000,"Netherlands",2145,"B&B","1994"
28215,"Netherlands",2216.89286,"Hotel","1994"
20691,"Netherlands",618,"Hotel","1994"
26020.5,"Netherlands",552.07143,"Hotel","1994"
33150,"USA",3490,"Hotel","1994"
30000,"USA",1545,"Hotel","1994"
66300,"USA",467.7,"Hotel","1994"
15048,"Netherlands",621.875,"B&B","1994"
21945,"Netherlands",1039.16667,"Hotel","1994"
77350,"USA",1275,"Hotel","1994"
33150,"USA",1230,"Hotel","1994"
18810,"Netherlands",1023.22917,"Appartment","1994"
45305,"USA",3048.33333,"Hotel","1994"
37620,"Netherlands",663.61111,"B&B","1994"
27625,"USA",879.765,"Camping","1994"
25080,"Netherlands",785.21429,"Appartment","1994"
13794,"Netherlands",650,"B&B","1994"
25080,"Netherlands",1084.63214,"Hotel","1994"
30940,"USA",1176.25,"Hotel","1994"
20064,"Netherlands",527.30833,"Camping","1994"
46410,"USA",882.95833,"Hotel","1994"
55250,"USA",1072.125,"Hotel","1994"
44200,"USA",2381.6875,"Hotel","1994"
21945,"Netherlands",488.33333,"Farm","1994"
81510,"Netherlands",663.30036,"Hotel","1994"
91715,"USA",1063.34286,"Hotel","1994"
99450,"USA",542.64583,"Hotel","1994"
17556,"Netherlands",610.28,"B&B","1994"
52000,"USA",2142.85714,"Hotel","1994"
18000,"Netherlands",1209.375,"Room","1994"
62700,"Netherlands",1633.33333,"Hotel","1994"
30387.5,"USA",481.25,"Camping","1994"
20064,"Netherlands",715.8,"Room","1994"
70400,"USA",1633.75,"Hotel","1994"
16575,"USA",416.33333,"Hotel","1994"
18810,"Netherlands",551.76,"Appartment","1994"
26961,"Netherlands",446.7375,"Appartment","1994"
37620,"Netherlands",403.74321,"Appartment","1994"
14421,"Netherlands",779.10714,"Appartment","1994"
23826,"Netherlands",1204.35714,"Hotel","1994"
25080,"Netherlands",786,"Hotel","1994"
37620,"Netherlands",436.69036,"Appartment","1994"
21945,"Netherlands",554.91071,"Appartment","1994"
25080,"Netherlands",537.94643,"Room","1994"
31350,"Netherlands",459.05357,"Camping","1994"
54862.5,"Netherlands",462.09952,"Appartment","1994"
21318,"Netherlands",367.50476,"B&B","1994"
26520,"USA",566.71429,"B&B","1994"
24453,"Netherlands",572.22857,"Appartment","1994"
25080,"Netherlands",913.39286,"Appartment","1994"
31350,"Netherlands",314.23333,"Camping","1994"
49725,"USA",1290.5,"Hotel","1994"
17242.5,"Netherlands",357.86667,"Camping","1994"
18810,"Netherlands",248.35556,"Camping","1994"
28215,"Netherlands",445,"Camping","1994"
18785,"USA",736.66667,"Camping","1994"
25707,"Netherlands",140.62889,"Camping","1994"
37620,"Netherlands",311.91,"Camping","1994"
18810,"Netherlands",305.48571,"Camping","1994"
44200,"USA",1651.58333,"Hotel","1994"
52668,"Netherlands",904.36,"Camping","1994"
18810,"Netherlands",302.67265,"Appartment","1994"
15048,"Netherlands",309.738,"Appartment","1994"
26961,"Netherlands",477.14286,"B&B","1994"
37620,"Netherlands",4030.71429,"Hotel","1994"
22572,"Netherlands",685,"Camping","1994"
24453,"Netherlands",648.625,"B&B","1994"
26334,"Netherlands",675.36857,"Appartment","1994"
28215,"Netherlands",992.00357,"Appartment","1994"
15048,"Netherlands",903.46667,"B&B","1994"
20064,"Netherlands",730.4,"B&B","1994"
16929,"Netherlands",779.27143,"Appartment","1994"
40885,"USA",1305.5,"Hotel","1994"
28160,"Netherlands",872.96,"Appartment","1994"
18810,"Netherlands",592.29167,"Room","1994"
23232,"Netherlands",494.05714,"Camping","1994"
30272,"Netherlands",228.36,"Camping","1994"
38675,"USA",1764.38214,"Hotel","1994"
32384,"Netherlands",576.70556,"B&B","1994"
16929,"Netherlands",736.10952,"B&B","1994"
23826,"Netherlands",881.15893,"Appartment","1994"
21945,"Netherlands",705.375,"Hotel","1994"
31350,"Netherlands",1018.12857,"Hotel","1994"
26334,"Netherlands",377.14286,"Camping","1994"
13260,"USA",1242.45,"Hotel","1994"
23826,"Netherlands",537.35,"Appartment","1994"
22572,"Netherlands",782.25714,"Hotel","1994"
41990,"USA",688.575,"Hotel","1994"
36366,"Netherlands",747.82812,"B&B","1994"
29469,"Netherlands",994.24286,"Hotel","1994"
29469,"Netherlands",539.22,"Appartment","1994"
24453,"Netherlands",543.92381,"Hotel","1994"
18183,"Netherlands",916.9875,"Appartment","1994"
14107.5,"Netherlands",777.03214,"Hotel","1994"
35739,"Netherlands",667.30714,"Appartment","1994"
24453,"Netherlands",548.02212,"Camping","1994"
110500,"USA",1107.6,"Hotel","1994"
55250,"USA",692.78571,"Hotel","1994"
110500,"USA",1164.375,"Hotel","1994"
33150,"USA",574.09091,"Hotel","1994"
92079.65,"USA",938.8625,"Hotel","1994"
55250,"USA",1070.83929,"Hotel","1994"
88400,"USA",1145,"Hotel","1994"
25326.6,"USA",2262.5,"Hotel","1994"
64454.65,"USA",1229.65625,"Hotel","1994"
33150,"USA",975,"Hotel","1994"
22100,"USA",580.8,"Hotel","1994"
6270,"Netherlands",3850,"Hotel","1994"
